"","webtoon","rating"
"1","참교육",9.8
"2","뷰티풀 군바리",9.82
"3","신의 탑",9.94
"4","파이게임",9.74
"5","소녀의 세계",9.96
"6","윈드브레이커",9.87
"7","장씨세가 호위무사",9.97
"8","삼매경",9.67
"9","만렙돌파",8.99
"10","황제와의 하룻밤",9.84
"11","칼가는 소녀",9.97
"12","요리GO",9.94
"13","유일무이 로맨스",9.98
"14","잔불의 기사",9.92
"15","수영만화일기",9.9
"16","야생천사 보호구역",9.98
"17","히어로메이커",9.96
"18","오늘의 순정망화",9.98
"19","리턴 투 플레이어",9.92
"20","결혼생활 그림일기",9.95
"21","앵무살수",9.98
"22","평범한 8반",9.85
"23","기사님을 지켜줘",9.79
"24","사랑의 헌옷수거함",9.96
"25","순정말고 순종",9.95
"26","바이러스X",7.18
"27","꿈의 기업",9.97
"28","싸이코 리벤지",9.31
"29","아는 여자애",9.97
"30","착한건 돈이된다",9.75
"31","브랜든",9.82
"32","살아간다",8.24
"33","선배, 그 립스틱 바르지 ...",9.85
"34","왕따협상",9.62
"35","바로 보지 않는",9.75
"36","피플",9.82
"37","침범",9.85
"38","마지막 지수",9.91
"39","사막에 핀 달",9.57
"40","중독연구소",9.89
"41","이중첩자",9.93
"42","원하는 건 너 하나",9.4
"43","라서드",9.92
"44","개밥 먹는 남자",9.93
"45","이탄국의 자청비",9.76
"46","뱀파이어의 꽃",9.86
"47","백호랑",9.95
"48","드로잉 레시피",9.96
"49","그림자 신부",9.83
"50","인간의 온도",9.91
"51","하슬라",9.91
"52","오로지 오로라",9.85
"53","트리거",9.84
"54","보살님이 캐리해!",9.89
"55","헬로맨스",9.82
"56","모락모락 왕세자님",9.87
"57","바른연애 길잡이",9.45
"58","여신강림",9.59
"59","엽총소년",9.95
"60","하루만 네가 되고 싶어",9.98
"61","한림체육관",9.73
"62","랜덤채팅의 그녀!",9.63
"63","사신소년",9.93
"64","신도림",9.95
"65","몬스터",9.51
"66","삼국지톡",9.93
"67","호랑이 들어와요",9.96
"68","헬58",9.94
"69","달콤살벌한 부부",9.96
"70","오피스 누나 이야기",9.86
"71","원주민 공포만화",9.88
"72","집이 없어",9.96
"73","나는 어디에나 있다",9.81
"74","위아더좀비",9.95
"75","윌유메리미",9.93
"76","하우스키퍼",9.97
"77","오늘의 순정망화",9.98
"78","그녀석 정복기",9.78
"79","견우와 선녀",9.98
"80","플레이, 플리",9.97
"81","용왕님의 셰프가 되었습니다",9.98
"82","성인초딩",9.76
"83","아이레",9.83
"84","빌런투킬",9.8
"85","급식러너",9.73
"86","악인",9.78
