"","webtoon","rating"
"1","유일무이 로맨스",9.98
"2","야생천사 보호구역",9.98
"3","오늘의 순정망화",9.98
"4","앵무살수",9.98
"5","하루만 네가 되고 싶어",9.98
"6","오늘의 순정망화",9.98
"7","견우와 선녀",9.98
"8","용왕님의 셰프가 되었습니다",9.98
"9","대신 심부름을 해다오",9.98
"10","숲속의 담",9.98
"11","노곤하개",9.98
"12","마른 가지에 바람처럼",9.98
"13","귀곡의 문",9.98
"14","범이올시다!",9.98
"15","당신의 향수",9.98
"16","겟백",9.98
"17","신비",9.98
"18","오늘의 순정망화",9.98
"19","만물의 영장",9.98
"20","롤랑롤랑",9.98
"21","1초",9.98
"22","걸어서 30분",9.98
"23","고래별",9.98
"24","노곤하개",9.98
"25","아홉수 우리들",9.98
"26","어글리후드",9.98
"27","동트는 로맨스",9.98
"28","먹이",9.98
"29","웰캄투실버라이프",9.98
"30","왕세자 입학도",9.98
"31","율리",9.98
"32","후아유!",9.98
"33","이번 생도 잘 부탁해",9.98
"34","합격시켜주세용",9.98
"35","장씨세가 호위무사",9.97
"36","칼가는 소녀",9.97
"37","꿈의 기업",9.97
"38","아는 여자애",9.97
"39","하우스키퍼",9.97
"40","플레이, 플리",9.97
"41","올가미",9.97
"42","제로게임",9.97
"43","연우의 순정",9.97
"44","모죠의 일지",9.97
"45","캐슬",9.97
"46","남주의 첫날밤을 가져버렸다",9.97
"47","엔딩 후 서브남을 주웠다",9.97
"48","각자의 디데이",9.97
"49","이츠마인",9.97
"50","독립일기",9.97
"51","화이트 블러드",9.97
"52","꽃만 키우는데 너무강함",9.97
"53","성스러운 아이돌",9.97
"54","셈하는 사이",9.97
"55","재혼 황후",9.97
"56","세기말 풋사과 보습학원",9.97
"57","닥터 프로스트 시즌 3~4",9.97
"58","너의 미소가 함정",9.97
"59","트럼프",9.97
"60","호랑이형님",9.97
"61","모죠의 일지",9.97
"62","광장",9.97
"63","청춘 블라썸",9.97
"64","내게 필요한 NO맨스",9.97
"65","홍시는 날 좋아해!",9.97
"66","저무는 해, 시린 눈",9.97
"67","독립일기",9.97
"68","살아남은 로맨스",9.97
"69","내일",9.97
"70","가비지타임",9.97
"71","소녀의 세계",9.96
"72","히어로메이커",9.96
"73","사랑의 헌옷수거함",9.96
"74","드로잉 레시피",9.96
"75","호랑이 들어와요",9.96
"76","달콤살벌한 부부",9.96
"77","집이 없어",9.96
"78","전지적 독자 시점",9.96
"79","닥터앤닥터 육아일기",9.96
"80","마녀와 용의 신혼일기",9.96
"81","새벽 두 시의 신데렐라",9.96
"82","당신의 과녁",9.96
"83","쿠베라",9.96
"84","그 개, 만두",9.96
