"","day","recomand"
"1","월요 추천 웹툰","사랑의 헌옷수거함"
"2","월요 추천 웹툰","기사님을 지켜줘"
"3","월요 추천 웹툰","보살님이 캐리해!"
"4","화요 추천 웹툰","호랑이 들어와요"
"5","화요 추천 웹툰","아이레"
"6","화요 추천 웹툰","완벽한 가족"
"7","수요 추천 웹툰","당신의 향수"
"8","수요 추천 웹툰","해귀"
"9","수요 추천 웹툰","스몰"
"10","목요 추천 웹툰","최강전설 강해효"
"11","목요 추천 웹툰","로그아웃"
"12","목요 추천 웹툰","밤하늘에 구름운"
"13","금요 추천 웹툰","여성전용헬스장 진달래짐"
"14","금요 추천 웹툰","걸어서 30분"
"15","금요 추천 웹툰","백년게임"
"16","토요 추천 웹툰","율리"
"17","토요 추천 웹툰","동네몬스터"
"18","토요 추천 웹툰","먹이"
"19","일요 추천 웹툰","데빌샷"
"20","일요 추천 웹툰","오른눈이 보는 세계"
"21","일요 추천 웹툰","사람은 고쳐 쓰는 게 아니야!"
