"","웹툰목록","웹툰작가","총개수"
"1","외모지상주의","박태준",60
"2","갓 오브 하이스쿨","박용제",60
"3","데드퀸","김규삼",60
"4","재혼 황후","알파타르트,히어리 / 숨풀",60
"5","1초","시니 / 광운",60
"6","개를 낳았다","이선",60
"7","성경의 역사","최경민 / 영모",60
"8","여성전용헬스장 진달래짐","유기",60
"9","삼국지톡","무적핑크 / 이리",60
"10","낙향문사전","바킹독 / 고기산적",60
"11","그들이 사귀는 세상","율로",60
"12","더 게이머","성상영 / 상아",60
"13","엽사:요괴사냥꾼","삼박",60
"14","세기말 풋사과 보습학원","순끼",60
"15","살人스타그램","령",60
"16","뫼신 사냥꾼","윤현승 / 방승현",60
"17","걸어서 30분","이온도",60
"18","주님, 악마가 되게 해주세...","불사 / 용가리",60
"19","히어로 킬러","꿀벌 / 벌꿀",60
"20","플레이어","박종석 / 오현준",60
"21","로판 빙의 만화","싱난다",60
"22","환상의 용","꼬마비",60
"23","상남자","도가도",60
"24","난약","정현주 / 박진환",60
"25","복학생 정순이","한짜장",60
"26","구남친이 내게 반했다","강하다 / 희똑",60
"27","고래별","나윤희",60
"28","스포","이강",60
"29","그 기사가 레이디로 사는 법","성혜림 / Ink.",60
"30","아찔한 전남편","별규, 기뭉 / 여백",60
"31","금혼령-조선혼인금지령","천지혜 / 산책",60
"32","거래","우남20",60
"33","가슴털 로망스","갸오오",60
"34","악몽일기","육공",60
"35","태권보이","김우준",60
"36","A.I. 닥터","한산이가, ZAINO / ...",60
"37","감자마을","박지독",60
"38","사람의 조각","신의철 / 천범식",60
"39","찬란하지 않아도 괜찮아, ...","까마중",60
"40","닥터 프로스트 시즌 3~4","이종범",60
"41","피와 나비","레민",60
"42","후덜덜덜 남극전자","김민혁",60
"43","썸내일","봉수",60
"44","나쁜 쪽으로","오은 / 이세릴",60
"45","빨리감기","포르토 / 홍준기",60
"46","방과후 선녀","이윤후",60
"47","너의 미소가 함정","앵고",60
"48","도무지 그애는","게코",60
"49","몽홀","장태산",60
"50","감히","희나리",60
"51","구독금지","김이연",60
"52","백년게임","하람 / 지야",60
"53","버그: 스티그마","해마 / 송지형",60
"54","꽃 피우는 남자","양하",60
"55","트럼프","이채은",60
"56","진짜 정말 맹세코 좋아해","개차반 / 잠괴물",60
"57","구주의 시간","송극장",60
"58","강림전기 개정기","철무장미 / 장군",60
"59","히트포인트","민형 / 여강현",60
"60","매지컬 메디컬","지공",60
