"","웹툰목록","웹툰작가","총개수"
"1","독립일기","자까",55
"2","싸움독학","박태준 / 김정현",55
"3","약한영웅","서패스 / 김진석",55
"4","이번 생도 잘 부탁해","이혜",55
"5","열렙전사","김세훈",55
"6","입학용병","YC / 락현",55
"7","맘마미안","미티 / 구구",55
"8","소녀재판","루즌아 / 보로콤",55
"9","테러대부활","한동우 / 고진호",55
"10","닥터앤닥터 육아일기","닥터베르",55
"11","곱게 키웠더니, 짐승","이른꽃,티바 / 여슬기",55
"12","천하제일인","권순규 / 신권이",55
"13","오로지 너를 이기고 싶어","아마도지 / 사삭",55
"14","나만 보여!","LICO",55
"15","동생친구","님니",55
"16","살아남은 로맨스","이연",55
"17","내일","라마",55
"18","행성인간","조석",55
"19","마법스크롤 상인 지오","엄재경 / 호패",55
"20","합격시켜주세용","이온",55
"21","구름이 피워낸 꽃","비온후",55
"22","별이삼샵","혀노",55
"23","다이스(DICE)","윤현석",55
"24","AI가 세상을 지배한다면","POGO / HOOPA",55
"25","로어 올림푸스","레이첼 스마이스",55
"26","판사 이한영","문성호 / 전돌돌",55
"27","벚꽃이 흩날릴 무렵","황양",55
"28","강남도깨비","이경민 / 송준혁",55
"29","가비지타임","2사장",55
"30","사람은 고쳐 쓰는 게 아니...","염라 / 구일하",55
"31","학교정벌","나락 / 지앤",55
"32","푸른불꽃","닺",55
"33","호수의 인어","박새",55
"34","굿 리스너","쥬드프라이데이",55
"35","가짜인간","0환이 / 반얀",55
"36","라일락 200%","아니영",55
"37","평행도시","고다",55
"38","아르세니아의 마법사","박성호 / SAYM",55
"39","결혼까지 망상했어!","문주",55
"40","데빌샷","CTK",55
"41","오른눈이 보는 세계","코어",55
"42","두근두근 연극부","김태경",55
"43","잉여특공대","물꾹 / 찰떡",55
"44","조선여우스캔들","문종호, 차소희 / 정후",55
"45","오늘 밤만 재워줘","해번 / 유나나",55
"46","라커, 오프너","만취 / 바른꽃",55
"47","소녀 해미","이현우",55
"48","위험한 신입사원","박수정 / Jiya",55
"49","마도","이밤",55
"50","데이즈","양수",55
"51","죽여주는 탐정님","뻥 / 조은",55
"52","신이 담긴 아이","건치 / 호진",55
"53","샤인 스타","김현",55
"54","스트러글","윤준식 / 백지운",55
"55","호시탐탐","박현정",55
